Подраздел	Задача / функция	Реализовано	Примечание
1. Регистрация и онбординг   ·   30 пунктов			
Авторизация	При первом входе показывать экран регистрации	Да	
	Авторизация через VK ID — получить и сохранить vk_id участника	Да	
	Повторный показ регистрации при возврате не показывать (только один раз)	Да	
Регистрация — базовые поля	Поле «ФИО» — текстовый ввод (одно поле или Имя + Фамилия)	Да	
	Поле «Возраст» — числовой ввод	Да	
	Поле «Направление» — выбор из списка направлений смены, список загружается из админки	Да	
	Поле «Место работы» — текстовый ввод	Да	
	Поле «Должность / деятельность» — только текстовый ввод	Да	
	Группа присваивается автоматически по правилу из админки или подгружается из списка дирекции (два режима — переключатель в админке)	Проверить позже	вот тут не понял надо обсудить 
Согласия	Согласие на обработку ПД — обязательное чекбоксное поле	Надо обсудить	надо взять согласие у форума
	Согласие на обезличенную аналитику — отдельное поле	Надо обсудить	надо взять согалсие у форму
	Тексты согласий загружаются из админки, версионируются	Да	
Точка А	Блок «Точка А» — 3–5 коротких обязательных вопросов про цели и ожидания	Да	
	Ответы — свободный текст, сохраняются дословно (основа для сравнения с точкой Б)	Да	
Интересы и теги	Вопрос про интересы — мультивыбор из настраиваемого списка тегов	Да	
	Список тегов единый — используется и в рекомендациях программы	Да	
	Сохранять выбранные интересы как массив	Да	
Диагностика ведущей роли (обязательный блок)	Отдельный блок в конце онбординга — «Как ты обычно действуешь?»	Да	
	Короткий тест 5–7 вопросов — определяет ведущую роль по 6 типам: Исследователь смыслов · Упаковщик содержания · Реализатор практики · Навигатор процесса · Проводник коммуникации · Хранитель среды	Да	
	Тексты вопросов и веса ответов настраиваются в админке	Проверить позже	делаю 
	После теста — экран «Твоя стартовая роль: N» с описанием: суть, проявления, ключевые слова	Да	
	Ниже — короткие карточки всех остальных ролей (свайп или список), чтобы участник видел общую картину	Да	
	Кнопка «Дальше» — переход на главную	Да	
	Результат сохраняется как ведущая_роль_старт в профиле участника	Да	
	Возможность администратора вручную скорректировать ведущую роль в профиле участника (если ошибка)	Да	
Завершение	Экран подтверждения данных перед сохранением	Да	
	После подтверждения — переход на главную страницу	Да	
2. Главная страница   ·   40 пунктов			
Верхняя шапка	Отображать ФИО участника	Да	
	Отображать направление и группу участника (бейдж под именем)	Да	HeaderInfo direction + groupName
	Отображать текущую дату	Да	
	Отображать текущий день смены: «День N из 8»	Да	
	Прогресс-индикатор по 8 дням смены (8 кружков, текущий выделен)	Да	
Фокус дня	Блок «Фокус дня» — заголовок + краткий текст	Да	
	Текст фокуса дня настраивается администратором на каждый день	Да	
Активная карточка по фазам дня (утро → день → вечер)	Главная карточка меняется в зависимости от фазы дня: утро (до 9:30), день (9:30–20:00), вечер (после 20:00). Меняется не весь интерфейс, а содержимое: появляются актуальные вопросы, скрываются неактуальные блоки	Да	homeActiveCard + ui flags
	Логика подбора карточки — по текущему московскому времени и статусу активной точки/блока программы	Да	
	Карточка «⚡ Нужно сейчас» — активная точка осмысления, крупно, кнопка «Ответить →»	Да	activeCard + priorityAction
	Карточка «СЕЙЧАС» — активный блок программы. Быстрые кнопки в дневной фазе: 💡 Идея · ✍️ Мысль · ❓ Вопрос · 👥 Контакт · 📌 На будущее · ✅ В работу	Да	
	Карточка «СКОРО» — блок начнётся в ближайшие 15–30 минут (бот автоматически берёт следующий блок из расписания по МСК)	Да	schedule soon + activeCard
	Карточка «ДАЛЕЕ» — следующий за «СКОРО» блок программы	Да	schedule next + activeCard
	Карточка «ДОСТУПНО» — открытая точка осмысления, не критичная сейчас	Да	day phase soft touchpoint card
	Карточка «✦ Завершение дня» — видна и активна только в фазе вечер, окно 22:00–00:00 (Итоговая анкета)	Да	eveningWrap + EveningQuestionnaire
Индикатор 7 точек осмысления	Блок «Точки осмысления · N из 7» — счётчик выполненных	Да	
	Семь кружков по горизонтали: ✓ зелёные пройденные, ! красные пропущенные, оранжевая цифра активной, серые будущие	Да	
	При нажатии на кружок — переход к соответствующей точке (если доступна)	Да	
	Подсказка под кружками: «Начни с утреннего провerка состоянияа» / «1 пропущена — ещё можно заполнить» / и т.п.	Да	dynamic touchpoints.message
Роль дня и эксперимент (новый блок)	Утром на главной — карточка «Роль дня»: показать роль на сегодня (в Д1 — стартовая по диагностике; в Д2–Д7 — та, что выбрал участник вечером в итогах предыдущего дня; Д8 — карточка не показывается)	Да	Сейчас этого нет, возможно я не прошла диагностику, поэтому
	Логика роли: выбор роли на завтра происходит ВЕЧЕРОМ в итоговой анкете Д1–Д6. Утром Д2–Д7 автоматически подтягивается совет/эксперимент под эту роль из каталога в админке (роль × день × текст). В Д7 вечером выбор роли на Д8 НЕ спрашиваем — Д8 это день отъезда	Да	
	Каталог экспериментов настраивается в админке: набор экспериментов на каждую из 6 ролей (2–3 варианта, случайный выбор или ротация по дню смены)	Да	
	Данные дня сохраняются в role_experiments: роль_день, режим, эксперимент, результат	Да	day-state experiment API
Пропуски	Если есть пропущенные точки в этом дне — показывать карточку «N точек пропущено» с перечислением и кнопкой	Да	
	Точки доступны для заполнения задним числом до 00:00. После 00:00 пропущенные точки замораживаются (locked) — больше не доступны для заполнения	Да	догон до 02:00 МСК
Блок-ссылка на задания	Блок «⚡ Задания» с бейджем «N доступно сегодня» — показывать ТОЛЬКО в утренней фазе. В дневной и вечерней фазах отдельного блока нет — остаётся только кнопка «Задания» в нижней панели	Да	блок убран, tabbar
Три счётчика прогресса	Счётчик «Путь» — баллы за ответы на вопросы, рефлексию, точки осмысления	Да	
	Счётчик «Опыт» — баллы за выполнение заданий, активности форума	Да	
	Счётчик «Общий рейтинг» = Путь + Опыт	Да	не вижу или это в общем рейтинге?
	Счётчик «Идей» — количество записей в копилке (отдельный визуальный маркер)	Да	
Сквозная функция «Идея / Мысль / Вопрос»	Быстрая фиксация в дневной фase (9:30–20:00) — блок «Быстрая фиксация» показывается на главной ВСЕГДА в дневной фазе, независимо от наличия активной точки осмысления	Да	блок убран; копилка через tabbar/+
	Нажатие открывает форму быстрого ввода: текст + Тег + Источник	Да	
	Теги (6 плоских слов): идея · мысль · вопрос · контакт · на будущее · в работу	Да	Там где контакт - может не нужен источник?
	Источник: Направление · Урок о важном · Открытый урок · Клуб · Разговор с участником · Своя мысль	Да	
	Источник спрашивается ПОСЛЕ создания записи, не подставляется по умолчанию	Да	
	Запись сохраняется в копилку	Да	
Быстрые кнопки копилки — фазность	Быстрые кнопки «Идея / Мысль / Вопрос / Контакт / На будущее / В работу» показываются на главной ТОЛЬКО в дневной фазе (9:30–20:00)	Да	убрать
	При нажатии — соответствующий тег ставится автоматически; источник спрашивается после	Да	
	В утренней и вечерней фазе быстрых кнопок нет — доступ в копилку через нижнюю панель / кнопку «+»	Частично	Может сделать так, чтобы можно было попасть в раздел при нажатии на идеи?
	Раздел «Копилка» доступен из любой точки бота во всех фазах	Да	
3. Программа + База знаний   ·   48 пунктов			
Виды привязок материала в базе знаний	К событию (event_id) — материал по конкретному блоку программы	Да	
	К дню — материал ко всему дню (расписание, программа дня, инструкции)	Да	
	К направлению — методички, брендбуки направления, шаблоны	Да	
	К теме / тегу — по тематическому тегу (объединяет материалы с разных событий)	Да	
	Общий материал форума — брендбук, карта территории, инструкции для всех, без привязки	Да	
	Один материал может иметь несколько привязок одновременно (например, к событию + теме)	Да	
Разделение сущностей	У УЧАСТНИКА: одна вкладка «Программа» с двумя внутренними табами — «Расписание» и «База знаний»	Да	
	В АДМИНКЕ: два независимых раздела — «Программа» (события/время/место/спикеры/теги/роли/направления) и «База знаний» (презентации/конспекты/материалы/ссылки)	Да	
	СВЯЗЬ: материал МОЖЕТ быть привязан к событию (event_id) — не обязательно. Материалы могут быть общими для форума	Да	
	Материал ЖИВЁТ в базе знаний. Может отображаться участнику через связь с событием ИЛИ как общий материал форума	Да	
Вкладки	Раздел «Программа» содержит две вкладки: «Расписание» и «База знаний»	Да	[восстановлено из ТЗ — не было в чек-листе]
	По умолчанию открывается «Расписание»	Да	
Отображение расписания	Вкладки по дням смены: «День 1» / «День 2» / … / «День 8»	Да	может добавим даты?
	При открытии раздела — автоматически открывать текущий день	Да	да хер его
	Для каждого события отображать: время начала и окончания, название, описание, место проведения	Частично	делаю 
	События в хронологическом порядке	Да	
	Тег «Сейчас» на активном блоке (автоматически по московскому времени)	Да	делаю 
	Статусы блоков: ✓ прошёл / › будущий / выделение «сейчас» для активного	Да	делаю 
	Поддержка параллельных событий в одном временном слоте	Да	
Тематические теги	Администратор назначает тематические теги каждому событию	Да	
	Набор тегов настраивается в админке — единый список с интересами участника	Да	
Персональные рекомендации	Блок «Рекомендуем тебе» — вверху вкладки «Расписание» для текущего дня	Да	
	Рекомендации строятся по совпадению тегов событий с интересами участника из онбординга	Да	
	Помечать рекомендацию короткой формулировкой: «под твой запрос» / «по интересам» / «для кругозора»	Да	
	Если несколько совпадений — ранжировать по степени соответствия	Да	
	Минимальный порог совпадений настраивается администратором	Частично	
Будущие дни и черновики	Для будущих дней (если расписание ещё не опубликовано) показывать «Расписание появится в конце дня N»	Да	
	Видимость расписания будущих дней управляется администратором	Да	через publish day + dayPublished
	Черновик расписания дня — админ может собирать расписание постепенно, участникам он не виден до публикации	Да	события isPublished/dayPublished false
	Кнопка «Опубликовать день» в админке — переводит черновик в опубликованный вид	Да	
	История версий расписания дня — сохранять последние N версий с датой изменения	Да	до 20 версий в API
База знаний — структура	Вкладка «База знаний» — материалы лекций и блоков по дням	Да	
	Переключатель дней с прогрессом и статусом: «✓ открыт» / «N/7 →» / «🔒 заблокирован»	Да	
	Карточка дня: название, краткое описание, прогресс точек осмысления	Да	dayFocus
База знаний — условный доступ	Материалы дня открываются, когда участник прошёл ≥4 из 7 точек осмысления за этот день	Да	
	Если день текущий и порог не достигнут: «🔒 Материалы откроются при ≥4 из 7 точек. Выполни ещё N точек» + кнопка «Перейти к точкам»	Да	
	Если день будущий: «🔒 День ещё не наступил. Откроется DD августа после прохождения ≥4 из 7 точек»	Да	startDate
	Если день прошёл и порог не достигнут — материалы остаются заблокированными (или открываются администратором вручную)	Да	kb_day_unlocks + KnowledgeTab manual unlock
	Порог открытия (по умолчанию 4) настраивается в админке	Да	
База знаний — материалы	Для открытого дня — список карточек: спикер (имя + аватар) + тема выступления	Да	
	Под каждым спикером — материалы: 📄 Конспект · 🖼 Презентация (PDF) · 🎥 Запись лекции (VK Видео) · 🔗 Список ресурсов	Да	typeLabel
	Бейдж «Новый» на материалах, добавленных за последние 24 часа	Частично	isNew при создании; авто 24ч — без created_at
	Возможность сохранить материал в копилку (с автоматическим источником = выбранный блок)	Да	
Push	Push за 10–15 минут до начала ключевых блоков программы	Да	pushReminder
	Триггер push настраивается администратором по типу блока	Частично	флаг pushReminder на событии
	Не отправлять push, если у участника отключены уведомления этого типа	Да	pushOptOut program
Порог базы знаний — настраивается	Порог настраивается в админке (по умолчанию 4)	Да	
	Порог МОЖЕТ БЫТЬ ОТКЛЮЧЁН — тогда база знаний открыта сразу без условия	Да	
4. Задания   ·   46 пунктов			
Отображение в боте — участник	Заголовок «Задания» + общий XP в баннере («+200 ⚡»)	Да	
	«N из M выполнено» — счётчик дня	Да	
	Прогресс дня (%) — крупная шкала с напоминанием про связь с Базой знаний	Да	
	Фильтр-капсулы по категориям: Все / Образование / Полезные знакомства / Медиа / Спорт / Креатив …	Да	
	Карточка задания: иконка категории, название, краткое описание, баллы (+N⚡), статус	Да	
	Статусы заявки: ⚪ Скоро откроется · 🔵 Доступно · 🟡 На проверке · 🟢 Выполнено · 🔴 Не принято · 🏆 Получена медаль	Да	
	Актуальные задания вверху списка, выделены визуально	Да	
	Будущие задания — неактивны или скрыты (настройка)	Да	
	Завершённые задания — остаются в списке со своим статусом	Да	
Выполнение задания участником	Открыть карточку → отдельный экран с полным условием и кнопкой «Выполнить»	Да	
	Форма выполнения зависит от способа подтверждения (см. ниже)	Да	
	Фото-подтверждение: размер файла до 5 МБ	Да	
	Отправка → создаётся запись в task_submissions со статусом «created»	Да	
	Если автоподтверждение — статус сразу «выполнено», баллы начисляются	Да	
	Если ручная — статус «ожидает подтверждения», задание попадает в очередь модерации	Да	
	При смене статуса заявки — push участнику	Да	
Способы подтверждения — реализация	QR-код активности: участник сканирует QR на площадке — открывается карточка задания → «Я участвовал» → заявка автоматически или на проверку	Да	
	Фото-подтверждение: участник прикладывает фото выполнения — заявка на модерацию	Да	
	Ссылка на пост: участник вставляет ссылку на VK с хэштегом — модератор проверяет наличие хэштега	Да	
	Подтверждение волонтёром: волонтёр сканирует QR участника на площадке — баллы начисляются сразу	Да	
	Командное подтверждение: один участник подаёт командную заявку, указывает участников команды; каждый получает запрос на подтверждение; после подтверждения всеми — команда получает баллы	Да	
	Автоподтверждение: статус «выполнено» при отправке без модерации	Да	
QR-коды для заданий и активностей	В админке: генерация QR-кода для каждой активности / задания	Да	
	QR-код содержит уникальный токен задания + временное ограничение действия (только в заданное время)	Да	
	Возможность распечатать пакет QR-кодов для волонтёров	Да	
	Логирование сканирования: кто, когда, какой QR	Да	
Workflow заявки — 6 статусов	Статус «created» — заявка создана участником	Да	
	Статус «ожидает подтверждения» — на модерации, ждёт решения	Да	
	Статус «подтверждено» — модератор подтвердил выполнение	Да	
	Статус «отклонено» — модератор отклонил с комментарием	Да	
	Статус «начислены баллы» — баллы зачислены в профиль	Да	
	Статус «получена медаль» — если выполнение закрыло условие медали	Да	
Командные задания	Участник создаёт командную заявку: указывает участников команды (поиск по ФИО)	Да	
	Каждому члену команды приходит push с запросом подтверждения	Да	
	После подтверждения всеми членами — команда получает баллы	Да	
	Если кто-то не подтвердил в течение N часов — заявка автоматически закрывается	Да	
Античит — обязательные ограничения	Одноразовые задания нельзя выполнить повторно	Да	
	Ежедневные задания — один раз в день на участника	Да	
	Многоразовые задания — лимит в день (настраивается)	Да	
	QR-код активности действует только в заданное время	Да	
	Фото обязательно прикладывается к заявке (если способ — фото)	Да	
	Ссылки на посты не должны повторяться у разных участников — система отслеживает дубли	Да	
	Групповая заявка требует подтверждения всех участников команды	Да	
	Модератор видит историю начислений баллов участника	Да	
	Администратор может аннулировать подозрительные баллы с уведомлением в боте	Да	
Категории заданий (финальный список)	Категории заданий (11, финальный список): образовательная программа / культурная программа / спорт / полезные знакомства и общение / групповые активности / креатив / медиа и соцсети / волонтёрство / организация активности / полезные выезды / инсайты	Да	[объединены пункты 73–83]
5. Точки осмысления   ·   61 пунктов			
Общая структура	Каждый день — 7 фиксированных точек осмысления с временными окнами	Да	
	У каждой точки: номер (1–7), тип, окно начала, окно конца, состав вопросов	Да	
	Состояние участника в точке: pending / active / done / overdue / locked	Да	
	active — точка в пределах временного окна, «Нужно сейчас» на главной	Да	
	overdue — окно закрылось, но день идёт, можно заполнить задним числом (красный !)	Да	
	locked — день закончился (00:00), окончательно пропущена (серый замок)	Да	
Семь точек дня	Точка 1 · Утренняя проверка состояния · окно 08:00 – 10:00	Да	
	Дневная точка №1 — окно 12:50–14:30	Да	
	Точка 3 · Дневная проверка состояния · окно 13:00 – 14:30 (параллельно точке 2)	Да	
	Дневная точка №2 — окно 16:00–18:00	Да	
	Вечерняя проверка состояния — окно 18:30–20:00. Итоговая анкета дня — окно 22:00–00:00	Да	
	Точка 6 · Вечерняя проверка состояния · окно 18:30 – 20:00 (параллельно точке 5)	Да	
	Точка 7 · Итоговая анкета по дню · окно 22:00 – 00:00	Да	
