Подраздел	Задача / функция	Реализовано	Примечание
11. Выгрузки · 54 пунктов			
Новая логика раздела	Основной пресет — «Выгрузка по дню»: dropdown Д1..Д8 → одна XLSX с ВСЕМИ ответами дня	Да	[код: ExportsTab + GET /exports/day XLSX] · [код: ExportsTab + GET /exports/day XLSX + README]
	Внутри выгрузки — фильтр по типу точки/вопроса: проверка состояния · рефлексия направления · после уроков о важном · после открытых уроков · итоги дня · точка А (Д1) · точка Б (Д7-Д8)	Да	[код: type=all|checkin|direction|lessons|evening|point_a|point_b] · [код: lesson_important|lesson_open + touchpointFilter]
	НЕ делать каждую точку осмысления отдельной выгрузкой — фильтр решает это внутри выгрузки по дню	Да	[код: фильтр type внутри дня] · [код: единый фильтр type в дне]
	На дашборде — автоматическая статистика: по типам точек, по эмоц.состоянию, по другим показателям	Да	[код: AnalyticsTab summary + /analytics/*] · [код: GET /exports/day/stats + кнопка «Статистика дня» в Архиве ExportsTab]
	Каждая выгрузка должна давать понятный результат	Да	[код: CSV/XLSX endpoints есть, не полный TZ набор листов] · [код: пресеты XLSX/CSV/ZIP + README листы]
База участников (сквозная)	ID, ФИО, vk_id, возраст, направление, группа, деятельность (место работы + должность), дата регистрации	Да	[код: GET /exports/participants] · [код: GET /exports/participants full XLSX/CSV]
	Общий Путь, общий Опыт, количество Идей, уровни	Да	[код: points в participants export частично] · [код: participantEnrichment]
	Согласия (ПД + аналитика) с датами	Да	[код: consent fields в export] · [код: consent fields + README семантика]
	Точка А (3–5 ответов дословно), точка Б (если заполнена)	Да	[код: answers export + type=point_a] · [код: point A/B JSON в participants export]
	Ведущая роль на входе (стартовая), сильная роль (по выбору в финале), роль роста (по выбору в финале)	Да	[код: participantDayState / roles в данных] · [код: roles в enrichment + roles-experiments]
	Педагогический архетип на входе и выходе (если применимо)	Да	[код: pedagogicalRoles] · [код: roleAnswers / D7 state]
	Интересы (мультивыбор)	Да	[код: participants.interests json] · [код: interests JSON]
Итоги дня — полная сводка (одна строка = один участник × день)	Собирается автоматически из точки 7	Да	[код: GET /exports/daily-summary + пресеты направление/группа]
	Все 9 оценок + условные оценки + все открытые вопросы + результат эксперимента + роль на завтра	Частично	[код: daily-summary шкалы/открытые; не все условные поля TZ]
	Метаданные (время, направление, группа) в каждой строке	Да	[код: daily-summary колонки]
	Фильтры: по дню, по направлению, по группе, по возрастной категории, по деятельности	Да	[код: AnalyticsShell + ExportsTab ageCategory/activity → API/cohort]
	Используется для основного дашборда дирекции и лидера направления	Да	[код: program/pulse + daily-summary export]
Роли и эксперименты — таблица по дням	ID участника, направление, группа, день	Да	[код: GET /exports/roles-experiments лист «По дням»]
	Стартовая ведущая роль (константа для участника)	Да	[код: start_role в roles-experiments]
	Роль дня (какую роль выбрал утром сегодня для эксперимента)	Да	[код: active_role]
	Режим дня: «исследую свою» / «прокачиваю другую»	Да	[код: day_mode explore_own/boost_other]
	Текст эксперимента дня (из каталога)	Да	[код: experiment_title/body из dayExperiments]
	Результат эксперимента: что получилось / не получилось / что фиксирую (текст)	Да	[код: experiment_result из eveningRatings]
	Роль_завтра (по выбору в вечерней анкете)	Да	[код: tomorrow_role]
	Отдельный лист «Путь ролей участника»: одна строка = один участник, колонки — роли по дням (д1–д7) → видно всю траекторию	Да	[код: лист «Путь ролей участника»]
	Отдельный лист «Распределение выбираемых ролей»: агрегат по дням × ролям × направлениям	Да	[код: лист «Распределение ролей»]
	Финальная сводка «Способ действия» (день 7): стартовая → исследованные (со счётчиком) → сильная → роль роста → следующий эксперимент	Да	[код: rolesExperimentsExport explored_roles_count + portrait exploredRolesAvg]
Ответы рефлексии — сквозная (для языкового трекера)	ID участника, направление, группа, день, точка_id, тип (после_направления / после_урока_о_важном / после_открытого_урока / итоговая / точка_А / точка_Б), блок_id, вопрос_id, текст вопроса, ответ, количество слов	Да	[код: /exports/answers] · [код: GET /exports/reflections]
	Одна выгрузка на все текстовые ответы за смену	Да	[код: reflections + exportCommon 11 полей]
	Используется для языкового трекера, глубины рефлексии, топ-тем, языкового сдвига А → Б	Да	[код: semantic languageTracker + reflections export]
Все ответы участника (сквозная по участнику)	Одна строка = один участник, все его ответы за все дни в хронологическом порядке	Да	[код: participant_activity_wide + participant/:id/answers + archive ZIP]
	Колонки: день, время, точка/блок, тип вопроса, вопрос, ответ, теги (если из копилки), источник, дополнительные метки	Частично	[код: answer row fields; теги копилки — отдельный export]
	Массовая выгрузка — по всем участникам одним архивом (каждый файл = один участник)	Да	[код: GET /exports/participants-archive]
	Отдельно — по фильтру: конкретный участник по ФИО или ID	Да	[код: пресет «По участнику» + ID]
	Формат: Excel или CSV, опция «включить только текстовые ответы» / «включить всё»	Да	[код: textOnly в archive ZIP]
Копилка	ID участника, направление, группа, день, время, текст, тег (один из 5), источник (один из 6), связка_с_блоком	Да	[код: /exports/piggybank + XLSX filter] · [код: /exports/piggybank XLSX + агрегаты]
	Отдельно — сводки по тегам и по источникам (агрегаты по направлениям, группам, дням)	Да	[код: листы По тегам / По источникам]
Задания и заявки	Каталог заданий: ID, название, описание, категория, номинация, баллы, тип, способ подтверждения, статус	Да	[код: tasks в admin, не отдельный export catalog] · [код: GET /exports/tasks-catalog]
	Заявки участников: ID участника, ID задания, статус, ответ, фото, ссылка, дата отправки и проверки, баллы, комментарий модератора, кто проверил	Да	[код: /exports/task-submissions]
Рейтинг и медали	Таблица лидеров за день — ФИО, баллы, ранг	Да	[код: /exports/rating/day]
	Общий рейтинг смены — ФИО, баллы, медали, номинации	Да	[код: /exports/rating/shift CSV/XLSX + medals + nominations columns]
	Рейтинг по каждой номинации — отдельные выгрузки	Да	[код: /exports/rating/nominations/:key]
	Список медалей по участникам — кто какие получил и когда	Да	[код: /exports/medals]
	Журнал действий модераторов и волонтёров	Да	[код: /exports/moderation-log]
	Журнал ручных начислений / снятий баллов	Да	[код: /exports/points-log] · [код: /exports/points-manual]
Общение	ID участника, тип действия (вопрос / ответ / реакция), текст, аудитория, статус модерации, время, начисленные баллы	Да	[код: /exports/exchange]
Активность	Входы, действия, пропущенные точки, пройденные точки, динамика по дням	Да	[код: /exports/activity batch + participant_activity_wide + кнопка в Архиве]
	По направлениям и группам — completion, среднее время в боте	Нет
Финальные продукты	PDF финального профиля каждого участника	Да	[код: PDF по одному в admin card] · [код: /exports/final-profiles.zip]
	Сводная таблица «Точка А → Точка Б»	Да	[код: GET /exports/point-a-b-summary + кнопка в Архиве]
