вот таблица 

Подраздел	Задача / функция	Реализовано	Примечание
1. Регистрация и онбординг   ·   30 пунктов			
Авторизация	При первом входе показывать экран регистрации	Да	
	Авторизация через VK ID — получить и сохранить vk_id участника	Да	
	Повторный показ регистрации при возврате не показывать (только один раз)	Да	
Регистрация — базовые поля	Поле «ФИО» — текстовый ввод (одно поле или Имя + Фамилия)	Да	
	Поле «Возраст» — числовой ввод	Да	
	Поле «Направление» — выбор из списка направлений смены, список загружается из админки	Да	
	Поле «Место работы» — текстовый ввод	Да	
	Поле «Должность / деятельность» — только текстовый ввод	Да	
	Группа присваивается автоматически по правилу из админки или подгружается из списка дирекции (два режима — переключатель в админке)	Проверить позже	вот тут не понял надо обсудить 
Согласия	Согласие на обработку ПД — обязательное чекбоксное поле	Надо обсудить	надо взять согласие у форума
	Согласие на обезличенную аналитику — отдельное поле	Надо обсудить	надо взять согалсие у форму
	Тексты согласий загружаются из админки, версионируются	Да	
Точка А	Блок «Точка А» — 3–5 коротких обязательных вопросов про цели и ожидания	Да	
	Ответы — свободный текст, сохраняются дословно (основа для сравнения с точкой Б)	Да	
Интересы и теги	Вопрос про интересы — мультивыбор из настраиваемого списка тегов	Да	
	Список тегов единый — используется и в рекомендациях программы	Да	
	Сохранять выбранные интересы как массив	Да	
Диагностика ведущей роли (обязательный блок)	Отдельный блок в конце онбординга — «Как ты обычно действуешь?»	Да	
	Короткий тест 5–7 вопросов — определяет ведущую роль по 6 типам: Исследователь смыслов · Упаковщик содержания · Реализатор практики · Навигатор процесса · Проводник коммуникации · Хранитель среды	Да	
	Тексты вопросов и веса ответов настраиваются в админке	Проверить позже	делаю 
	После теста — экран «Твоя стартовая роль: N» с описанием: суть, проявления, ключевые слова	Да	
	Ниже — короткие карточки всех остальных ролей (свайп или список), чтобы участник видел общую картину	Да	
	Кнопка «Дальше» — переход на главную	Да	
	Результат сохраняется как ведущая_роль_старт в профиле участника	Да	
	Возможность администратора вручную скорректировать ведущую роль в профиле участника (если ошибка)	Да	
Завершение	Экран подтверждения данных перед сохранением	Да	
	После подтверждения — переход на главную страницу	Да	
2. Главная страница   ·   40 пунктов			
Верхняя шапка	Отображать ФИО участника	Да	
	Отображать направление и группу участника (бейдж под именем)	Надо обсудить	пока нет, можно ли засинхронить с базой пикалок
	Отображать текущую дату	Да	
	Отображать текущий день смены: «День N из 8»	Да	
	Прогресс-индикатор по 8 дням смены (8 кружков, текущий выделен)	Да	
Фокус дня	Блок «Фокус дня» — заголовок + краткий текст	Да	
	Текст фокуса дня настраивается администратором на каждый день	Да	
Активная карточка по фазам дня (утро → день → вечер)	Главная карточка меняется в зависимости от фазы дня: утро (до 9:30), день (9:30–20:00), вечер (после 20:00). Меняется не весь интерфейс, а содержимое: появляются актуальные вопросы, скрываются неактуальные блоки	Надо обсудить	Нужно ли нам это? Может сделаем без деления на фазы?
	Логика подбора карточки — по текущему московскому времени и статусу активной точки/блока программы	Нет	
	Карточка «⚡ Нужно сейчас» — активная точка осмысления, крупно, кнопка «Ответить →»	Проверить позже	
	Карточка «СЕЙЧАС» — активный блок программы. Быстрые кнопки в дневной фазе: 💡 Идея · ✍️ Мысль · ❓ Вопрос · 👥 Контакт · 📌 На будущее · ✅ В работу	Да	
	Карточка «СКОРО» — блок начнётся в ближайшие 15–30 минут (бот автоматически берёт следующий блок из расписания по МСК)	Проверить позже	делаю 
	Карточка «ДАЛЕЕ» — следующий за «СКОРО» блок программы	Надо обсудить	только вижу Сейчас
	Карточка «ДОСТУПНО» — открытая точка осмысления, не критичная сейчас	Надо обсудить	
	Карточка «✦ Завершение дня» — видна и активна только в фазе вечер, окно 22:00–00:00 (Итоговая анкета)	Проверить позже	делаю 
Индикатор 7 точек осмысления	Блок «Точки осмысления · N из 7» — счётчик выполненных	Да	
	Семь кружков по горизонтали: ✓ зелёные пройденные, ! красные пропущенные, оранжевая цифра активной, серые будущие	Да	
	При нажатии на кружок — переход к соответствующей точке (если доступна)	Да	
	Подсказка под кружками: «Начни с утреннего проверка состоянияа» / «1 пропущена — ещё можно заполнить» / и т.п.	Надо обсудить	Старнно, что постоянно только эта надпись, может уберем?
Роль дня и эксперимент (новый блок)	Утром на главной — карточка «Роль дня»: показать роль на сегодня (в Д1 — стартовая по диагностике; в Д2–Д7 — та, что выбрал участник вечером в итогах предыдущего дня; Д8 — карточка не показывается)	Проверить позже	Сейчас этого нет, возможно я не прошла диагностику, поэтому
	Логика роли: выбор роли на завтра происходит ВЕЧЕРОМ в итоговой анкете Д1–Д6. Утром Д2–Д7 автоматически подтягивается совет/эксперимент под эту роль из каталога в админке (роль × день × текст). В Д7 вечером выбор роли на Д8 НЕ спрашиваем — Д8 это день отъезда	Проверить позже	
	Каталог экспериментов настраивается в админке: набор экспериментов на каждую из 6 ролей (2–3 варианта, случайный выбор или ротация по дню смены)	Проверить позже	
	Данные дня сохраняются в role_experiments: роль_день, режим, эксперимент, результат	Надо обсудить	хз 
Пропуски	Если есть пропущенные точки в этом дне — показывать карточку «N точек пропущено» с перечислением и кнопкой	Нет	
	Точки доступны для заполнения задним числом до 00:00. После 00:00 пропущенные точки замораживаются (locked) — больше не доступны для заполнения	Надо обсудить	Может сделать до 2:00
Блок-ссылка на задания	Блок «⚡ Задания» с бейджем «N доступно сегодня» — показывать ТОЛЬКО в утренней фазе. В дневной и вечерней фазах отдельного блока нет — остаётся только кнопка «Задания» в нижней панели	Надо обсудить	давай уберем
Три счётчика прогресса	Счётчик «Путь» — баллы за ответы на вопросы, рефлексию, точки осмысления	Да	
	Счётчик «Опыт» — баллы за выполнение заданий, активности форума	Да	
	Счётчик «Общий рейтинг» = Путь + Опыт	Да	не вижу или это в общем рейтинге?
	Счётчик «Идей» — количество записей в копилке (отдельный визуальный маркер)	Да	
Сквозная функция «Идея / Мысль / Вопрос»	Быстрая фиксация в дневной фазе (9:30–20:00) — блок «Быстрая фиксация» показывается на главной ВСЕГДА в дневной фазе, независимо от наличия активной точки осмысления	Надо обсудить	давай уберем
	Нажатие открывает форму быстрого ввода: текст + Тег + Источник	Да	
	Теги (6 плоских слов): идея · мысль · вопрос · контакт · на будущее · в работу	Да	Там где контакт - может не нужен источник?
	Источник: Направление · Урок о важном · Открытый урок · Клуб · Разговор с участником · Своя мысль	Да	
	Источник спрашивается ПОСЛЕ создания записи, не подставляется по умолчанию	Да	
	Запись сохраняется в копилку	Да	
Быстрые кнопки копилки — фазность	Быстрые кнопки «Идея / Мысль / Вопрос / Контакт / На будущее / В работу» показываются на главной ТОЛЬКО в дневной фазе (9:30–20:00)	Да	убрать
	При нажатии — соответствующий тег ставится автоматически; источник спрашивается после	Да	
	В утренней и вечерней фазе быстрых кнопок нет — доступ в копилку через нижнюю панель / кнопку «+»	Частично	Может сделать так, чтобы можно было попасть в раздел при нажатии на идеи?
	Раздел «Копилка» доступен из любой точки бота во всех фазах	Нет	
3. Программа + База знаний   ·   48 пунктов			
Виды привязок материала в базе знаний	К событию (event_id) — материал по конкретному блоку программы	Да	
	К дню — материал ко всему дню (расписание, программа дня, инструкции)	Да	
	К направлению — методички, брендбуки направления, шаблоны	Да	
	К теме / тегу — по тематическому тегу (объединяет материалы с разных событий)	Да	
	Общий материал форума — брендбук, карта территории, инструкции для всех, без привязки	Да	
	Один материал может иметь несколько привязок одновременно (например, к событию + теме)	Да	
Разделение сущностей	У УЧАСТНИКА: одна вкладка «Программа» с двумя внутренними табами — «Расписание» и «База знаний»	Да	
	В АДМИНКЕ: два независимых раздела — «Программа» (события/время/место/спикеры/теги/роли/направления) и «База знаний» (презентации/конспекты/материалы/ссылки)	Да	
	СВЯЗЬ: материал МОЖЕТ быть привязан к событию (event_id) — не обязательно. Материалы могут быть общими для форума	Да	
	Материал ЖИВЁТ в базе знаний. Может отображаться участнику через связь с событием ИЛИ как общий материал форума	Да	
Вкладки	Раздел «Программа» содержит две вкладки: «Расписание» и «База знаний»	Да	[восстановлено из ТЗ — не было в чек-листе]
	По умолчанию открывается «Расписание»	Да	
Отображение расписания	Вкладки по дням смены: «День 1» / «День 2» / … / «День 8»	Да	может добавим даты?
	При открытии раздела — автоматически открывать текущий день	Проверить позже	да хер его
	Для каждого события отображать: время начала и окончания, название, описание, место проведения	Частично	делаю 
	События в хронологическом порядке	Да	
	Тег «Сейчас» на активном блоке (автоматически по московскому времени)	Нет	делаю 
	Статусы блоков: ✓ прошёл / › будущий / выделение «сейчас» для активного	Нет	делаю 
	Поддержка параллельных событий в одном временном слоте	Проверить позже	
Тематические теги	Администратор назначает тематические теги каждому событию	Проверить позже	
	Набор тегов настраивается в админке — единый список с интересами участника	Проверить позже	
Персональные рекомендации	Блок «Рекомендуем тебе» — вверху вкладки «Расписание» для текущего дня	Проверить позже	
	Рекомендации строятся по совпадению тегов событий с интересами участника из онбординга	Проверить позже	
	Помечать рекомендацию короткой формулировкой: «под твой запрос» / «по интересам» / «для кругозора»	Проверить позже	
	Если несколько совпадений — ранжировать по степени соответствия	Проверить позже	
	Минимальный порог совпадений настраивается администратором	Нет	
Будущие дни и черновики	Для будущих дней (если расписание ещё не опубликовано) показывать «Расписание появится в конце дня N»	Нет	
	Видимость расписания будущих дней управляется администратором	Нет	
	Черновик расписания дня — админ может собирать расписание постепенно, участникам он не виден до публикации	Нет	
	Кнопка «Опубликовать день» в админке — переводит черновик в опубликованный вид	Нет	
	История версий расписания дня — сохранять последние N версий с датой изменения	Нет	
База знаний — структура	Вкладка «База знаний» — материалы лекций и блоков по дням	Нет	
	Переключатель дней с прогрессом и статусом: «✓ открыт» / «N/7 →» / «🔒 заблокирован»	Нет	
	Карточка дня: название, краткое описание, прогресс точек осмысления	Нет	
База знаний — условный доступ	Материалы дня открываются, когда участник прошёл ≥4 из 7 точек осмысления за этот день	Нет	
	Если день текущий и порог не достигнут: «🔒 Материалы откроются при ≥4 из 7 точек. Выполни ещё N точек» + кнопка «Перейти к точкам»	Нет	
	Если день будущий: «🔒 День ещё не наступил. Откроется DD августа после прохождения ≥4 из 7 точек»	Нет	
	Если день прошёл и порог не достигнут — материалы остаются заблокированными (или открываются администратором вручную)	Нет	
	Порог открытия (по умолчанию 4) настраивается в админке	Нет	
База знаний — материалы	Для открытого дня — список карточек: спикер (имя + аватар) + тема выступления	Нет	
	Под каждым спикером — материалы: 📄 Конспект · 🖼 Презентация (PDF) · 🎥 Запись лекции (VK Видео) · 🔗 Список ресурсов	Нет	
	Бейдж «Новый» на материалах, добавленных за последние 24 часа	Нет	
	Возможность сохранить материал в копилку (с автоматическим источником = выбранный блок)	Нет	
Push	Push за 10–15 минут до начала ключевых блоков программы	Нет	
	Триггер push настраивается администратором по типу блока	Нет	
	Не отправлять push, если у участника отключены уведомления этого типа	Нет	
Порог базы знаний — настраивается	Порог настраивается в админке (по умолчанию 4)	Нет	
	Порог МОЖЕТ БЫТЬ ОТКЛЮЧЁН — тогда база знаний открыта сразу без условия	Нет	
4. Задания   ·   46 пунктов			
Отображение в боте — участник	Заголовок «Задания» + общий XP в баннере («+200 ⚡»)	Нет	
	«N из M выполнено» — счётчик дня	Нет	
	Прогресс дня (%) — крупная шкала с напоминанием про связь с Базой знаний	Нет	
	Фильтр-капсулы по категориям: Все / Образование / Полезные знакомства / Медиа / Спорт / Креатив …	Нет	
	Карточка задания: иконка категории, название, краткое описание, баллы (+N⚡), статус	Нет	
	Статусы заявки: ⚪ Скоро откроется · 🔵 Доступно · 🟡 На проверке · 🟢 Выполнено · 🔴 Не принято · 🏆 Получена медаль	Нет	
	Актуальные задания вверху списка, выделены визуально	Нет	
	Будущие задания — неактивны или скрыты (настройка)	Нет	
	Завершённые задания — остаются в списке со своим статусом	Нет	
Выполнение задания участником	Открыть карточку → отдельный экран с полным условием и кнопкой «Выполнить»	Нет	
	Форма выполнения зависит от способа подтверждения (см. ниже)	Нет	
	Фото-подтверждение: размер файла до 5 МБ	Нет	
	Отправка → создаётся запись в task_submissions со статусом «created»	Нет	
	Если автоподтверждение — статус сразу «выполнено», баллы начисляются	Нет	
	Если ручная — статус «ожидает подтверждения», задание попадает в очередь модерации	Нет	
	При смене статуса заявки — push участнику	Нет	
Способы подтверждения — реализация	QR-код активности: участник сканирует QR на площадке — открывается карточка задания → «Я участвовал» → заявка автоматически или на проверку	Нет	
	Фото-подтверждение: участник прикладывает фото выполнения — заявка на модерацию	Нет	
	Ссылка на пост: участник вставляет ссылку на VK с хэштегом — модератор проверяет наличие хэштега	Нет	
	Подтверждение волонтёром: волонтёр сканирует QR участника на площадке — баллы начисляются сразу	Нет	
	Командное подтверждение: один участник подаёт командную заявку, указывает участников команды; каждый получает запрос на подтверждение; после подтверждения всеми — команда получает баллы	Нет	
	Автоподтверждение: статус «выполнено» при отправке без модерации	Нет	
QR-коды для заданий и активностей	В админке: генерация QR-кода для каждой активности / задания	Нет	
	QR-код содержит уникальный токен задания + временное ограничение действия (только в заданное время)	Нет	
	Возможность распечатать пакет QR-кодов для волонтёров	Нет	
	Логирование сканирования: кто, когда, какой QR	Нет	
Workflow заявки — 6 статусов	Статус «created» — заявка создана участником	Нет	
	Статус «ожидает подтверждения» — на модерации, ждёт решения	Нет	
	Статус «подтверждено» — модератор подтвердил выполнение	Нет	
	Статус «отклонено» — модератор отклонил с комментарием	Нет	
	Статус «начислены баллы» — баллы зачислены в профиль	Нет	
	Статус «получена медаль» — если выполнение закрыло условие медали	Нет	
Командные задания	Участник создаёт командную заявку: указывает участников команды (поиск по ФИО)	Нет	
	Каждому члену команды приходит push с запросом подтверждения	Нет	
	После подтверждения всеми членами — команда получает баллы	Нет	
	Если кто-то не подтвердил в течение N часов — заявка автоматически закрывается	Нет	
Античит — обязательные ограничения	Одноразовые задания нельзя выполнить повторно	Нет	
	Ежедневные задания — один раз в день на участника	Нет	
	Многоразовые задания — лимит в день (настраивается)	Нет	
	QR-код активности действует только в заданное время	Нет	
	Фото обязательно прикладывается к заявке (если способ — фото)	Нет	
	Ссылки на посты не должны повторяться у разных участников — система отслеживает дубли	Нет	
	Групповая заявка требует подтверждения всех участников команды	Нет	
	Модератор видит историю начислений баллов участника	Нет	
	Администратор может аннулировать подозрительные баллы с уведомлением в боте	Нет	
Категории заданий (финальный список)	Категории заданий (11, финальный список): образовательная программа / культурная программа / спорт / полезные знакомства и общение / групповые активности / креатив / медиа и соцсети / волонтёрство / организация активности / полезные выезды / инсайты	Нет	[объединены пункты 73–83]
5. Точки осмысления   ·   61 пунктов			
Общая структура	Каждый день — 7 фиксированных точек осмысления с временными окнами	Нет	
	У каждой точки: номер (1–7), тип, окно начала, окно конца, состав вопросов	Нет	
	Состояние участника в точке: pending / active / done / overdue / locked	Нет	
	active — точка в пределах временного окна, «Нужно сейчас» на главной	Нет	
	overdue — окно закрылось, но день идёт, можно заполнить задним числом (красный !)	Нет	
	locked — день закончился (00:00), окончательно пропущена (серый замок)	Нет	
Семь точек дня	Точка 1 · Утренняя проверка состояния · окно 08:00 – 10:00	Нет	
	Дневная точка №1 — окно 12:50–14:30	Нет	
	Точка 3 · Дневная проверка состояния · окно 13:00 – 14:30 (параллельно точке 2)	Нет	
	Дневная точка №2 — окно 16:00–18:00	Нет	
	Вечерняя проверка состояния — окно 18:30–20:00. Итоговая анкета дня — окно 22:00–00:00	Нет	
