Подраздел	Задача / функция	Реализовано	Примечание
14. Админ-панель   ·   207 пунктов			
1. Участники · Список	Заголовок страницы: «Участники · N всего»	Да	Не хватает того, что просили: Нет счётчика «Участники · N всего» — сейчас только название вкладки, общее количество нигде не видно. Нет колонки/фильтра «Группа» — есть только «Направление». Если группа участнику всё-таки нужна (внутри направления), её не видно вообще. Нет колонки «Общий рейтинг» (Путь + Опыт вместе) — сейчас Путь и Опыт показаны раздельно, сложить самому можно, но отдельной колонки нет. Нет статуса активности (когда последний раз заходил / не заходит N дней) — фильтра по активности тоже нет. Нет кнопки «Выгрузить список» (весь список целиком в XLSX) — только штучные действия в строке. Нет действий «Отправить пуш» по участнику. Не соответствует ТЗ / непонятно, что это: Кнопки в «Действия» — QR, PDF+, PDF, Сброс — в ТЗ таких не было (там были: Открыть карточку · Скорректировать роль · Выгрузить данные · Отправить пуш · Заблокировать · Удалить). сейчас нет ни «Удалить», ни «Отправить пуш», ни «Заблокировать». Строка поиска смешана с формой добавления участника в одну линию (Поиск / ID ВК / Имя / Фамилия / Направление / Добавить) · [код: AdminPageHero + participantsTotal (2026-07)]
	Строка поиска: по ФИО, VK ID	Да	
	Фильтр: Направление (мультивыбор)	Да	
	Фильтр: Группа	Да	
	Фильтр: Ведущая роль по диагностике	Да	[код: фильтр pedagogicalRole] · [код: strongRole + pedagogicalRole (2026-07 roadmap)]
	Фильтр: Активность (активен сегодня / неактивен ≥ 1 дня / неактивен ≥ 3 дней)	Да	
	Кнопка: «+ Добавить участника»	Да	
	Кнопка: «Выгрузить список» (XLSX)	Да	
	Таблица — колонки: ID · VK ID · ФИО · Направление · Группа · Ведущая роль · Путь · Опыт · Общий рейтинг · Активность · Действия	Да	Достаточно ли этого · [код: нет колонки внутреннего ID] · [код: колонка ID + toggle (2026-07)]
	Действия в строке (кебаб-меню): Открыть карточку · Скорректировать роль · Выгрузить данные · Отправить пуш · Заблокировать · Удалить	Да	Не вижу этого · [код: нет «Удалить», есть сброс регистрации] · [код: «Удалить участника» + confirm + journal]
	Массовые действия: Выгрузить выбранных · Отправить пуш выбранным · Экспорт в XLSX	Да	Не вижу этого
1. Участники · Карточка участника	Открывается по клику на строку	Да	Не вижу этого
	Верхняя шапка: аватар · ФИО · VK ID · Направление · Группа · Ведущая роль (с кнопкой «Скорректировать»)	Да	Не вижу этого · [код: инициалы вместо фото] · [код: VK photo users.get + fallback initials]
	Вкладка «Профиль»: данные регистрации · интересы (теги) · согласия	Да	Не вижу этого · [код: интересы/согласия не в UI] · [код: согласия, интересы, workplace (2026-07)]
	Вкладка «Активность»: временная лента событий	Да	Не вижу этого
	Вкладка «Ответы»: все ответы с фильтром по типу и дню	Да	Не вижу этого · [код: фильтр по дню, не по типу] · [код: фильтр день + block]
	Вкладка «Копилка»: все записи с тегами и источниками	Да	Не вижу этого · [код: фильтры тег/источник/день в карточке]
	Вкладка «Задания»: выполненные, на модерации, отклонённые	Да	Не вижу этого
	Вкладка «Медали»: полученные (с датой) и незакрытые (прогресс)	Да	Не вижу этого · [код: без прогресса незакрытых] · [код: awardedAt + не получены]
	Вкладка «Баллы»: разбивка «Путь» / «Опыт» / общий, разрез по дням, ручные начисления	Да	Не вижу этого · [код: сводка path/exp/bonus + by day]
	Вкладка «Логи»: все действия админов по этому участнику	Да	Не вижу этого
	Действия: Скорректировать роль · Начислить/снять баллы · Отправить пуш · Заблокировать · Выгрузить всё	Да	Не вижу этого · [код: блок из списка] · [код: hero toolbar ParticipantCard]
2. Программа · Создание дня	Кнопка «+ Добавить день»: Дата · Номер дня смены (напр. «День 3») · Номер смены	Да	
	Табы по дням: [День 1] [День 2] … — формируются автоматически по созданным дням	Да	
	Кнопка «Скопировать день» — полностью дублирует все события дня на новый день с возможностью правки	Да	
	Кнопки: [Сохранить черновик дня] [Опубликовать день] [История версий]	Да	
2. Программа · Список событий	Строка события в хронологическом порядке: Время · Название · Тип (бейдж) · Место · Спикер · Статус · Действия	Да	[код: EventCard, не таблица] · [код: EventCard timeline]
	Действия: Редактировать · Скрыть · Дублировать в другой день · Удалить	Да	
2. Программа · Форма события	Название блока · Описание блока (rich text) · Спикер (мультивыбор из справочника)	Да	Не хватает: день/дата смены, время окончания, тип блока (dropdown), место (не текст, а список из справочника), спикер, аудитория (все/направление), теги к событию, черновик/опубликовано, копирование дня, блок с несколькими темами внутри. Список аудиторий: Пушкин Харламов Левитан Достоевский (Росмолодежь) Рахманинов Циолковский (Ростелеком) Брюллов Кутузов Лермонтов Движение Первых Машук Бештау Малая сцена Октогональ · [код: textarea, не rich text] · [код: descriptionHtml + plain (2026-07)] · [код: descriptionHtml editor]
	Тип блока (выпадающий список — справочник, редактируется админом): работа по направлению / уроки о важном / открытые уроки / альтернативные площадки / культурные активности / клуб / практика практик / полезный выезд / другое	Да	
	Аудитория блока: Все участники / Конкретное направление (выбор из справочника направлений)	Да	
	Теги блока — мультивыбор из справочника тегов (для персональных рекомендаций участнику)	Да	
	Время начала · Время окончания	Да	
	Место — выпадающий список из справочника мест площадки (редактируется админом). Стартовый список: Пушкин · Харламов · Левитан · «Достоевский (Росмолодёжь)» · Рахманинов · «Циолковский (Ростелеком)» · Брюллов · Кутузов · Лермонтов · Движение Первых · Машук · Бештау · Малая сцена · Октогональ	Да	
	Публикация: [Черновик] / [Опубликовано]	Да	
	Кнопки: [Сохранить черновик] [Опубликовать] [👁 Посмотреть как участник]	Да	[код: модал превью HTML] · [код: EventCard + preview modal]
2. Программа · Блок с несколькими темами (напр. «Открытые уроки»)	Блок можно пометить как «содержит несколько тем» — тогда внутри создаётся список под-событий (тем/мастер-классов)	Да	
	У каждой темы внутри блока — своё название, спикер, место (тот же справочник мест)	Да	[код: SpeakerMultiPick на под-теме]
	Участник видит в расписании ОДНУ карточку блока (например, «Открытые уроки»), при нажатии — разворачивается список всех тем внутри	Да	[код: фронт участника] · [код: Program.tsx expand parent]
3. База знаний · Список	Заголовок: «База знаний · N материалов»	Да	
	Поиск по названию · Фильтр: День · Направление · Статус (черновик/опубликовано)	Да	
	Кнопка: «+ Добавить материал»	Да	
	Колонки: Дата · Спикер · Название материала · Тип материала · Аудитория · Привязка (общий / к блоку) · Статус · Действия	Да	[код: KnowledgeTab table TZ columns]
	Действия: Редактировать · Скопировать ссылку · Скрыть · Удалить	Да	[код: RowActionsMenu + Скрыть archived]
3. База знаний · Форма материала	Дата	Да	[код: dayNumber + createdAt в списке]
	Спикер (мультивыбор из справочника)	Да	[код: SpeakerMultiPick program-speakers]
	Название материала	Да	
	Тип материала (выпадающий список — справочник, редактируется админом): конспект / презентация / запись / ссылка на ресурс / другое	Да	❓ уточнить финальный список типов · [код: material_types catalog]
	Аудитория: Для всех / Для конкретного направления	Да	[код: поле direction в форме материала] · [код: radio + direction select]
	Ссылка на материал (URL) ИЛИ файл (drag-drop, до 100 МБ) — на выбор	Да	[код: только URL] · [код: upload-file до 100MB]
	Привязка: Общий материал форума / К конкретному блоку программы (dropdown событий)	Да	[код: isGeneral + event select]
	Публикация: [Черновик] / [Опубликовано]	Да	
	Условие открытия участнику: [Открыт сразу] / [После прохождения ≥ N точек осмысления] (N настраивается, по умолчанию 4 из 7)	Да	[код: kb-unlocks] · [код: kb-unlocks по участнику+дню] · [код: поля материала в админке; runtime kbUnlockThreshold по дню] · [код: admin kbUnlockMode + runtime isMaterialUnlockedForParticipant]
	Публикация: [Черновик] / [Опубликовано]	Да	
4. Вопросы · Список	ВАЖНО: в интерфейсе участника это ОДИН раздел «Вопросы». В админке — ТИПЫ вопросов внутри одного раздела (рефлексивные / обмен опытом / связь с дирекцией). НЕ отдельные разделы админки	Да	Тоже неудобно, чтобы создавать: непонятно работает ли Нужно, чтобы было так: Создать вопросы на день такой-то Новый вопрос - Вид вопроса - Его подзаголовок - каким отображается в списке (приоритет) и в чекбоксе Тип ответа: Тип ответа: свободный текст / шкала 1-5 / шкала 1-10 / выбор / мультивыбор / эмоция Варианты ответа Обязательность вопроса Черновик, опубликовать сейчас, опубликовать в конкретное время С уведомлением или без Возможность скопировать вопрос или все вопросы дня Вопрос Все / Направление / Группа / Роль Баллы за ответ на вопрос
	Заголовок: «Вопросы · N всего»	Да	
	Табы по типу: [Все] [Входные] [Диагностика] [Проверка состояния] [После блоков] [Итоги дня] [Дополнительные] [Обмен опытом] [Связь с дирекцией]	Да	
	Поиск · Фильтр: День · Аудитория · Статус	Да	
	Кнопка: «+ Создать вопрос»	Да	
	Колонки: № · Заголовок · Тип · Тип ответа · День · Окно · Аудитория · Статус · Ответов · Действия	Да	
	Действия: Редактировать · Дублировать · Просмотр ответов · Скопировать на другой день · Скрыть · Удалить	Да	
	Массовое действие «Скопировать выбранные на день N» — для быстрой сборки одинаковых точек на всю смену	Да	
4. Вопросы · Форма вопроса	Заголовок (внутренний)	Да	
	Тип вопроса (радио 6 типов)	Да	
	Подтип (dropdown) · Текст вопроса участнику	Да	
	Тип ответа: свободный текст / шкала 1-5 / шкала 1-10 / выбор / мультивыбор / эмоция	Да	
	Варианты ответа (если применимо, drag-drop)	Да	
	День показа: чекбоксы 1-8 или диапазон	Да	
	Окно: время открытия/закрытия	Да	
	Аудитория: Все / Направление / Группа / Роль	Да	[код: dropdown directions/groups/roles]
	Обязательность · Баллы за ответ (по линии «Путь») · С уведомлением + шаблон	Да	
	ВЕРСИОННОСТЬ: при редактировании создаётся новая версия. Плашка «⚠ уже собрано N ответов на прежнюю формулировку. Старые ответы сохранят старый текст в снэпшоте»	Да	[код: versionNotice + versions tab]
	Отдельная вкладка «История версий вопроса» — список всех версий с датой и автором	Да	
	Кнопки: [Сохранить черновик] [Опубликовать] [👁 Посмотреть как участник — превью вопроса]	Да	
5. Роли · Список ролей	Заголовок: «Роли · 6 ролей матрицы»	Да	
	Матрица 2×3 (визуально): столбцы МЫШЛЕНИЕ · ДЕЙСТВИЯ · ЛЮДИ; строки ЛИДЕРСКИЙ (вовне) · ОРГАНИЗАЦИОННЫЙ (внутри группы)	Да	
	Роли: Исследователь смыслов · Реализатор практики · Проводник коммуникации · Упаковщик содержания · Навигатор процесса · Хранитель среды	Да	
	Колонки: Название · Ключ · Квадрант · Иконка · Описание · Действия	Да	
	Действия: Редактировать · Просмотр советов	Да	
5. Каталог советов · Список	ОДНА МЕХАНИКА: каждой паре (роль × день) соответствует ОДИН совет. НЕ «2-3 варианта на выбор» и НЕ ротация. Жёсткая привязка, редактируется вручную	Да	[код: unique day+role + upsert]
	Заголовок: «Каталог советов · N советов»	Да	
	Поиск · Фильтр: Роль · День · Статус	Да	
	Кнопки: [+ Добавить совет] [Импорт из CSV] [Скачать шаблон CSV]	Да	
	Колонки: Роль · День · Заголовок · Первые ~100 символов · Статус · Действия	Да	
	Действия: Редактировать · Удалить	Да	[код: AdviceCatalogSection]
5. Каталог советов · Форма совета	Роль (dropdown из 6 ролей)	Да	
	День смены (dropdown 1–7)	Да	
	Заголовок совета (до 60 символов)	Да	
	Текст совета (до 500 символов)	Да	
	Статус: [Черновик] / [Опубликован]	Да	
	Кнопки: [Сохранить] [Опубликовать] [👁 Посмотреть как участник — превью карточки «Совет дня»]	Да	
6. Задания · Список	Заголовок: «Задания · N всего»	Да	
	Табы: [Активные] [Черновики] [Архив]	Да	[код: TasksTab status tabs]
	Поиск · Фильтр: Категория (11) · День · Способ подтверждения	Да	[код: task-categories dropdown]
	Кнопка: «+ Создать задание»	Да	
	Колонки: № · Название · Иконка · Категория · Баллы · День · Способ подтверждения · Модерация · Статус · Выполнено раз · Действия	Да	[код: TasksListTable]
	Действия: Редактировать · Дублировать · Скачать QR · Скрыть · Удалить	Да	[код: RowActionsMenu + hide/archive]
6. Задания · Форма задания	Название · Описание (rich text) · Иконка	Да	Категория — сделать выпадающим списком из 11 категорий (сейчас текстовое поле, и там Нетворкинг — так писать нельзя, у нас полезные знакомства/общение) Не хватает: Тип: индивидуальное / командное Тип: одноразовое / ежедневное / многоразовое (сейчас это два разных поля, а не одно) Требует модерации или авто — отдельным явным полем Лимит выполнений Уровень: обычное / особое (с медалью) Срок выполнения: дата и время начала + дата и время окончания (отдельно друг от друга) Дата публикации Черновик и опубликовать (сейчас только «Сохранить») Иконка задания Номинация (для подсчёта по номинациям) Место проведения Кнопка «Скопировать» Способ подтверждения — сделать мультивыбором: QR · Фото до 5 МБ · Ссылка · Волонтёр · Команда · Модератор (сейчас похоже на выбор одного варианта из двух) · [код: TaskForm rich editor]
	Категория (dropdown 11 категорий)	Да	[код: TaskCategoriesBlock + select]
	День доступности (мультивыбор 1-8) · Срок выполнения	Да	
	Баллы (линия «Опыт»): число	Да	
	Способ подтверждения (мультивыбор): QR · Фото до 5 МБ · Ссылка · Волонтёр · Команда · Модератор	Да	[код: CONFIRMATION_METHOD_OPTIONS chips]
	Требует модерации: чекбокс	Да	
	Лимит выполнений: одноразовое / ежедневное / многоразовое	Да	[код: executionType select]
	Уровень: обычное / особое (награда медалью)	Да	[код: medalTask checkbox]
	Кнопка «Сгенерировать QR» (для активностей)	Да	
	Публикация: черновик / опубликовано	Да	[код: Сохранить черновик + Опубликовать]
	Кнопки: [Сохранить] [Опубликовать] [👁 Посмотреть как участник — превью карточки]	Да	
	Поле «Номинация» — для подсчёта по номинациям рейтинга (спорт/креатив/медиа и т.д.)	Да	
	Поле «Время публикации» — когда карточка становится видна участнику (отдельно от дня доступности)	Да	[код: TaskForm availableFromLocal]
	Поле «Срок приёма заявки» — до какого момента принимается заявка (может отличаться от дня доступности)	Да	[код: TaskForm applicationDeadlineLocal]
	Поле «Место проведения» — если задание привязано к локации (выбор из справочника мест — см. «2. Программа»)	Да	[код: TaskForm programPlaceId]
	Поле «Push при публикации» — чекбокс: отправлять ли уведомление участникам при публикации задания	Да	
6. Модерация заявок по заданиям	Заголовок: «Заявки на модерации · N в очереди»	Да	Три вкладки (Обмен опытом / Задания на проверке / Архив обмена) есть — но как страница пустая, непонятно, они реально переключаются или это просто три подписи подряд текстом. Не хватает: карточки без действий — нет кнопок «Одобрить/Отклонить», нет фильтров (по заданию/направлению/дате), нет комментария при отклонении.
	Фильтр: Задание · Способ подтверждения · Направление · Группа	Да	[код: TaskModerationQueue]
	Колонки: Дата · Участник · Задание · Способ · Фото/ссылка · Действия	Да	
	Действия: Подтвердить · Отклонить · Открыть карточку участника	Да	
	Массовые: Подтвердить выбранных · Отклонить выбранных с комментарием	Да	[код: bulk-moderate approve+reject]
6. Рейтинг · Настройка	Две линии — «Путь» и «Опыт»	Да	По баллам сейчас непонятно, как то странно начисление написано: у нас на разные вопросы будут разные баллы, тоже с заданиями - вообщем ерунда какая-то · [код: LevelsTab path/experience + leaderboards]
	Пороги уровней «Пути»: [Уровень · От · До · Название], + добавить уровень	Да	[код: ThresholdEditor path_level]
	Пороги уровней «Опыта»: аналогично	Да	[код: ThresholdEditor exp_level]
	Правила бонусов (конструктор)	Да	[код: вкл/выкл существующих правил, без создания новых] · [код: BonusRulesEditor + runtime enabled/params]
	Таблица actionType × points × линия — единая настройка ставок	Да	[код: ActionTable action-catalog]
	Кнопки: [Сохранить] [Пересчитать всех]	Да	[код: LevelsTab settings toolbar]
	История пересчётов	Да	[код: LevelsTab recalc-history]
6. Рейтинг · Ручные операции	Форма ручного начисления: Участник (search) · Линия (Путь / Опыт) · Баллы (+/-) · Причина (обязательно) · Дата	Да	[код: search + line + points + reason + date]
	Кнопка [Начислить] — запись сразу в points_log и admin_actions_log	Да	
	История ручных начислений с возможностью отмены	Да	[код: manual log + revoke]
6. Медали · Список	Заголовок: «Медали · N всего»	Да	
	Табы: [Активные] [Черновики]	Да	[код: MedalsTab listTab]
	Фильтр: Категория · Уровень · Тип выдачи · Видимость	Да	[код: MedalsTab filters]
	Кнопка: «+ Создать медаль»	Да	
	Колонки: Иконка · Название · Уровень · Категория · Тип выдачи · Видимость · Выдано раз · Действия (Редактировать · Скрыть · Удалить)	Да	[код: MedalsListTable]
6. Медали · Форма медали	Название · Описание (rich text) · Иконка (SVG/PNG)	Да	[код: TaskForm rich editor]
	Категория · Уровень: [Бронза]/[Серебро]/[Золото]	Да	[код: MedalForm seg bronze/silver/gold]
	Тип выдачи: [Автоматическая] / [Ручная]	Да	[код: MedalForm awardType]
	Условие получения (если авто) — конструктор правил	Да	[код: ruleMetric + ruleValue]
	ТИП ВИДИМОСТИ (радио): «Открытая» — участник видит условие в разделе «Медали» с прогрессом · «Скрытая» — получает неожиданно, условие не показывается	Да	[код: open/hidden radio + hints]
	Примеры открытых: «Посетил 5 активностей», «Собрал 20 записей в копилке»	Да	[код: примеры в ТЗ, не контент] · [код: подсказки в MedalForm, не контент медалей]
	Примеры скрытых: «7 дней подряд фиксировал мысли», «Помог 10 участникам без просьбы»	Да	[код: примеры в ТЗ, не контент] · [код: подсказки в MedalForm, не контент медалей]
	Статус: [Активна] / [Черновик]	Да	[код: MedalForm isActive seg]
7. Копилка · Список записей	Заголовок: «Записи копилки · N всего»	Да	
	Поиск по тексту	Да	
	Фильтр: Участник · Направление · Группа · День · Тег · Источник	Да	
	Колонки: Дата+время · Участник · Направление · Текст (150 симв) · Теги · Источник · Действия	Да	
	Действия: Открыть · Пометить как нарушение · Скрыть · Удалить (лог)	Да	
	Кнопка [Экспорт в XLSX]	Да	
8. Пуши · Список	Заголовок: «Пуши · N всего · N в очереди»	Да	1. Человеческие названия вместо slot_0800. 2. День программы (Д1–Д8) или дату 3. Тип уведомления из выпадающего списка: Проверка состояния, Напоминание, Итоги дня, Программа, Задание, Организационное 4. Статус (черновик/опубликовано). 5. Время публикации и до скольки висит в боте 6. Возможность прикрепить картинку · [код: PushTab AdminPageHero]
	Табы: [Отправлено] [В очереди] [Черновики] [Шаблоны]	Да	
	Фильтр: Тип · Аудитория · Дата отправки	Да	
	Кнопка: «+ Создать уведомление»	Да	
	Колонки: Дата · Заголовок · Аудитория · Доставлено/Открыто · Тип · Действия (Редактировать (для черновиков/очереди) · Дублировать · Удалить)	Да	[код: PushListTable]
